paper_id,sample_id,canonical,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,source_pool,latitude,longitude
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Nap_ngg,2.0,Unknown,table_p2_ri1_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Ant_ngg,3.0,Unknown,table_p2_ri6_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,17.45,Unknown,table_p2_ri6_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,8.61,Unknown,table_p2_ri6_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Flt_ngg,3.0,Unknown,table_p2_ri7_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,314.19,Unknown,table_p2_ri7_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,33.96,Unknown,table_p2_ri7_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Pyr_ngg,4.0,Unknown,table_p2_ri8_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Pyr_ngg,135.24,Unknown,table_p2_ri8_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Pyr_ngg,17.47,Unknown,table_p2_ri8_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Ant_ngg,4.0,Unknown,table_p2_ri9_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,BaA_ngg,4.0,Unknown,table_p2_ri9_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,152.9,Unknown,table_p2_ri9_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BaA_ngg,152.9,Unknown,table_p2_ri9_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,29.99,Unknown,table_p2_ri9_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BaA_ngg,29.99,Unknown,table_p2_ri9_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Chr_ngg,4.0,Unknown,table_p2_ri10_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Chr_ngg,127.65,Unknown,table_p2_ri10_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Chr_ngg,12.24,Unknown,table_p2_ri10_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Flt_ngg,5.0,Unknown,table_p2_ri11_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,BbF_ngg,5.0,Unknown,table_p2_ri11_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,150.56,Unknown,table_p2_ri11_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BbF_ngg,150.56,Unknown,table_p2_ri11_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,17.81,Unknown,table_p2_ri11_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BbF_ngg,17.81,Unknown,table_p2_ri11_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Flt_ngg,5.0,Unknown,table_p2_ri12_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,BkF_ngg,5.0,Unknown,table_p2_ri12_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,112.37,Unknown,table_p2_ri12_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BkF_ngg,112.37,Unknown,table_p2_ri12_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Flt_ngg,25.05,Unknown,table_p2_ri12_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BkF_ngg,25.05,Unknown,table_p2_ri12_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,BaP_ngg,5.0,Unknown,table_p2_ri13_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BaP_ngg,173.35,Unknown,table_p2_ri13_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BaP_ngg,19.8,Unknown,table_p2_ri13_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Pyr_ngg,6.0,Unknown,table_p2_ri14_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Cd_mgkg,6.0,Unknown,table_p2_ri14_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Pyr_ngg,110.24,Unknown,table_p2_ri14_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Cd_mgkg,110.24,Unknown,table_p2_ri14_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Pyr_ngg,13.68,Unknown,table_p2_ri14_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Cd_mgkg,13.68,Unknown,table_p2_ri14_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,Ant_ngg,5.0,Unknown,table_p2_ri15_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,22.28,Unknown,table_p2_ri15_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Ant_ngg,3.72,Unknown,table_p2_ri15_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Ring,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Ring,BghiP_ngg,6.0,Unknown,table_p2_ri16_ci1,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BghiP_ngg,66.49,Unknown,table_p2_ri16_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,BghiP_ngg,10.95,Unknown,table_p2_ri16_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Max__$\left(_\mathbf_{_n_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Sum_PAH_ngg,1481.91,Unknown,table_p2_ri17_ci3,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0025326X25004254,1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,1-s2.0-S0025326X25004254_1-s2.0-S0025326X25004254_Mean__$\left(_\mathbf_{_n_}_\mathbf_{_g_}_{_\cdot_}_\mathbf_{_g_}_^_{_-_1_}_\right)$,Sum_PAH_ngg,244.44,Unknown,table_p2_ri17_ci4,sediment,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
1-s2.0-S0045653522020495,1-s2.0-S0045653522020495_XDAs,1-s2.0-S0045653522020495_1-s2.0-S0045653522020495_XDAs,Nap_ngg,79.7,Unknown,table_p3_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,hm_op,,
